INSTRUMENT1,01-Jan-2017,5
INSTRUMENT1,02-Jan-2017,17
INSTRUMENT1,03-Jan-2017,5
INSTRUMENT1,04-Jan-2017,1
INSTRUMENT1,05-Jan-2017,1
INSTRUMENT3,08-Jan-2017,1
INSTRUMENT3,09-Jan-2017,1
INSTRUMENT2,10-Jan-2017,1
INSTRUMENT2,11-Jan-2017,1
INSTRUMENT2,12-Jan-2017,1
INSTRUMENT4,13-Jan-2017,1
INSTRUMENT4,16-Jan-2017,1
INSTRUMENT3,17-Jan-2017,1
INSTRUMENT5,18-Jan-2017,1
INSTRUMENT5,19-Jan-2017,1
INSTRUMENT5,20-Jan-2017,1
INSTRUMENT4,22-Jan-2017,1
INSTRUMENT4,23-Jan-2017,2
INSTRUMENT4,24-Jan-2017,2
INSTRUMENT4,25-Jan-2017,2
INSTRUMENT5,26-Jan-2017,1
INSTRUMENT2,11-Nov-2014,10
INSTRUMENT2,12-Nov-2014,6
INSTRUMENT6,27-Jan-2017,4
INSTRUMENT7,30-Jan-2017,4
INSTRUMENT7,01-Feb-2017,4
INSTRUMENT7,02-Feb-2017,4
