USDPLEXRATE1,12-Mar-2015,4.02
USDPLEXRATE2,12-Mar-2015,4.02
USDPLEXRATE3,12-Mar-2015,4.02
USDPLEXRATE4,12-Mar-2015,4.02
USDPLEXRATE5,12-Mar-2015,4.02
USDPLEXRATE6,12-Mar-2015,4.02
INSTRUMENT1,02-Oct-2015,56.08313
INSTRUMENT1,27-Feb-2006,91.98226
INSTRUMENT1,09-Aug-2012,39.32069
INSTRUMENT1,24-Dec-2005,77.91207
INSTRUMENT1,21-Jun-2011,2.86301
INSTRUMENT1,20-Mar-2004,14.31512
INSTRUMENT1,24-Jun-2005,45.02145
INSTRUMENT1,29-Jan-2013,1.37374
INSTRUMENT1,01-Oct-2015,42.19898
INSTRUMENT1,24-Apr-2016,76.77451
INSTRUMENT1,27-Oct-2014,56.12155
INSTRUMENT1,13-Nov-2005,94.59028
INSTRUMENT1,06-Aug-2005,59.7225
INSTRUMENT1,14-Mar-2003,32.85682
INSTRUMENT1,19-May-2010,79.229
INSTRUMENT1,05-Jan-2009,90.52829
INSTRUMENT1,28-Dec-2007,23.92612
INSTRUMENT1,23-Apr-2014,66.23405
INSTRUMENT1,17-Dec-2006,89.62434
INSTRUMENT1,29-Sep-2014,33.62257
INSTRUMENT1,18-Jul-2000,77.0323
INSTRUMENT1,18-Nov-2011,41.06639
INSTRUMENT1,29-Jun-2010,62.03739
INSTRUMENT1,24-Mar-2003,67.11567
INSTRUMENT1,10-Sep-2006,91.3225
INSTRUMENT1,08-Nov-2009,57.32569
INSTRUMENT1,07-May-2007,53.79812
INSTRUMENT1,16-Feb-2010,52.94741
INSTRUMENT1,18-Aug-2011,96.00455
INSTRUMENT1,17-Feb-2006,97.45809
INSTRUMENT1,05-Nov-2007,7.94008
INSTRUMENT1,25-Jul-2002,73.02258
INSTRUMENT1,25-Aug-2009,4.69649
INSTRUMENT1,17-Feb-2007,75.71387
INSTRUMENT1,22-Feb-2006,68.83421
INSTRUMENT1,15-Jan-2009,85.685
INSTRUMENT1,20-Sep-2004,98.60504
INSTRUMENT1,10-Oct-2005,26.47266
INSTRUMENT1,21-Dec-2011,27.93141
INSTRUMENT1,05-Feb-2001,36.22592
INSTRUMENT1,26-Apr-2011,45.47666
INSTRUMENT1,23-Apr-2016,92.89214
INSTRUMENT1,01-Dec-2007,42.19175
INSTRUMENT1,10-Sep-2014,45.25503
INSTRUMENT1,23-Nov-2004,59.39957
INSTRUMENT1,24-Jul-2001,2.20838
INSTRUMENT1,02-Apr-2013,92.77872
INSTRUMENT1,27-Jul-2000,23.76213
INSTRUMENT1,04-Aug-2013,31.53463
INSTRUMENT1,07-Aug-2008,39.01583
INSTRUMENT1,09-Jun-2014,76.59634
INSTRUMENT1,30-Mar-2002,88.6976
INSTRUMENT1,12-Dec-2002,86.85336
INSTRUMENT1,14-Nov-2016,52.85531
INSTRUMENT1,04-Nov-2002,48.24757
INSTRUMENT1,25-Feb-2006,77.89975
INSTRUMENT1,02-Oct-2008,46.96111
INSTRUMENT1,05-Apr-2010,61.43782
INSTRUMENT1,29-Apr-2007,54.99183
INSTRUMENT1,01-Apr-2003,88.19729
